reference,title,type,isbn10,isbn13,url,reading-lists,doi
0075410B-855A-BFF9-B427-E6F6BA27534F,"Handbook of applied spatial analysis: software tools, methods and applications",book,3642036465;3642036473,9783642036460;9783642036477,http://readinglists.ucl.ac.uk/items/0075410B-855A-BFF9-B427-E6F6BA27534F.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818:Recommended,
0260F69D-FA75-CF01-DCF2-4909AB4092A1,Mobilities,book,0745634184;0745634192,9780745634180;9780745634197,http://readinglists.ucl.ac.uk/items/0260F69D-FA75-CF01-DCF2-4909AB4092A1.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
0302CCF8-D200-E0F6-5A20-75D4011D2C21,Applied spatial data analysis with R,book,0387781706,9780387781709,http://readinglists.ucl.ac.uk/items/0302CCF8-D200-E0F6-5A20-75D4011D2C21.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
0384DB59-E963-EC90-5902-68AB1BE2A65A,GIS algorithms: theory and applications for geographic information science & technology,book,,9781473921498;9781446274330,http://readinglists.ucl.ac.uk/items/0384DB59-E963-EC90-5902-68AB1BE2A65A.html,14F7EC69-3236-486A-5D3B-01B939E718AE:Recommended,
03AB8BFA-DF8E-E00A-8C47-0659E439430C,GIS: a short introduction,book,0631235337;0631235329,9780631235330,http://readinglists.ucl.ac.uk/items/03AB8BFA-DF8E-E00A-8C47-0659E439430C.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
0592B88A-E2A7-A6EF-9AE7-8195AC10B8CB,Applied spatial data analysis with R,book,0387781706,9780387781709,http://readinglists.ucl.ac.uk/items/0592B88A-E2A7-A6EF-9AE7-8195AC10B8CB.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
05C1408F-4A66-655B-EE84-441827B5F569,Urban travel demand: a behavioral analysis,book,0720431964;0444108300,,http://readinglists.ucl.ac.uk/items/05C1408F-4A66-655B-EE84-441827B5F569.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
06382664-D182-2464-0A94-B1AD52341082,The visual display of quantitative information,book,0961392142,9780961392147,http://readinglists.ucl.ac.uk/items/06382664-D182-2464-0A94-B1AD52341082.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA:Recommended,
078A47C8-15EE-0FD7-C540-1C07264A53B3,"The data revolution: big data, open data, data infrastructures & their consequences",book,,9781446287477;9781446287484;9781473909472,http://readinglists.ucl.ac.uk/items/078A47C8-15EE-0FD7-C540-1C07264A53B3.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,10.4135/9781473909472
08773482-BB08-274D-EA5D-2F335EC85CAB,Networks: an introduction,book,,9780199206650,http://readinglists.ucl.ac.uk/items/08773482-BB08-274D-EA5D-2F335EC85CAB.html,A6D7ED9B-ABF0-F08D-060D-726808C7AF2D,10.1093/acprof:oso/9780199206650.001.0001
08D96C19-03AD-F86B-A357-DB4C75800AE5,Show Me the Numbers: Designing Tables and Graphs to Enlighten,book,0970601972,,http://readinglists.ucl.ac.uk/items/08D96C19-03AD-F86B-A357-DB4C75800AE5.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA,
09A7E458-221B-7AAD-C2D7-0532928F5F5C,Beautiful visualization: [looking at data through the eyes of experts],book,1449379869;1449391338;1449379885;1449390684,9781449379865;9781449391331;9781449379889;9781449390686,http://readinglists.ucl.ac.uk/items/09A7E458-221B-7AAD-C2D7-0532928F5F5C.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA,
0EFCCFC4-C83E-EEC6-F1EF-F8117B961660,"The informational city: information technology, economic restructuring, and the urban-regional process",book,0631159886;0631179372,,http://readinglists.ucl.ac.uk/items/0EFCCFC4-C83E-EEC6-F1EF-F8117B961660.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
0F262ADF-4CFD-4382-3AA6-8BA8B0A5A018,Geographic information systems: socioeconomic applications,book,0415125715;0415125723,,http://readinglists.ucl.ac.uk/items/0F262ADF-4CFD-4382-3AA6-8BA8B0A5A018.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
100B018F-FAED-7358-6496-B9B4AD2EDA62,"Geocomputation: a practical primer, chapter 1",book,,9781446272923;9781446272930,http://readinglists.ucl.ac.uk/items/100B018F-FAED-7358-6496-B9B4AD2EDA62.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
1077C11C-B311-E75D-F106-C8C621B0EE3D,Everyware: the dawning age of ubiquitous computing,book,0321384016,9780321384010,http://readinglists.ucl.ac.uk/items/1077C11C-B311-E75D-F106-C8C621B0EE3D.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,
122037BF-C090-D204-FCF8-C1D17B69A877,BS ISO 37106:2018: Sustainable cities and communities. Guidance on establishing smart city operating models for sustainable communities,book,,9780580956799,http://readinglists.ucl.ac.uk/items/122037BF-C090-D204-FCF8-C1D17B69A877.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,
1329462D-DC1B-B4BD-B5DC-C01299B540FF,Agent-based and individual-based modeling: a practical introduction,book,0691190828;0691190836,9780691190822;9780691190839;9780691190044,http://readinglists.ucl.ac.uk/items/1329462D-DC1B-B4BD-B5DC-C01299B540FF.html,FF07D106-8495-A29B-1581-0986A4A5FB26:Essential,10.2307/jj.28274141
136393E0-E9E9-556C-405F-7EACD50B525C,Ground truth: the social implications of geographic information systems,book,0898622948;0898622956,9780898622959,http://readinglists.ucl.ac.uk/items/136393E0-E9E9-556C-405F-7EACD50B525C.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818:Optional,
14524BE4-6A17-0864-9D21-2866778CF624,How to lie with maps,book,0226534200;0226534219,,http://readinglists.ucl.ac.uk/items/14524BE4-6A17-0864-9D21-2866778CF624.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818:Recommended,
1719238D-CC37-FD41-91D1-254A70CC7770,"Visual explanations: images and quantities, evidence and narrative",book,0961392126,,http://readinglists.ucl.ac.uk/items/1719238D-CC37-FD41-91D1-254A70CC7770.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA,
17BD8E26-BF18-DEA8-BE9E-9929BC9D7E4C,Globalization and belonging,book,0761949860;0761949852,,http://readinglists.ucl.ac.uk/items/17BD8E26-BF18-DEA8-BE9E-9929BC9D7E4C.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
1D98441D-F024-61E0-CBCE-3F21FA5AF526,"Sensor technologies: healthcare, wellness, and environmental applications",book,1430260149,,http://readinglists.ucl.ac.uk/items/1D98441D-F024-61E0-CBCE-3F21FA5AF526.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,
1DD47D07-DE4A-0B4B-AF2B-F60DACB0CA90,"Design for information: an introduction to the histories, theories, and best practices behind effective information visualizations",book,1610589483;1299935524;1592538061,9781610589482;9781299935525;9781592538065,http://readinglists.ucl.ac.uk/items/1DD47D07-DE4A-0B4B-AF2B-F60DACB0CA90.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA:Recommended,
1E85F90B-AF4E-878C-07C6-BB3FBFD60316,Information is beautiful,book,0007294662,9780007294664,http://readinglists.ucl.ac.uk/items/1E85F90B-AF4E-878C-07C6-BB3FBFD60316.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA,
1F62BE5A-94DA-F9DA-41CF-8C0AD127B1B2,The nature of code: simulating natural systems with JavaScript,book,1718503717;1718503709,9781718503717;9781718503700,http://readinglists.ucl.ac.uk/items/1F62BE5A-94DA-F9DA-41CF-8C0AD127B1B2.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA,
1FAAAC71-E420-84D7-1AA0-1A15133CC5FF,Beginning statistics: an introduction for social scientists,book,0761960619;0761960627,,http://readinglists.ucl.ac.uk/items/1FAAAC71-E420-84D7-1AA0-1A15133CC5FF.html,F337A367-A79E-5897-3521-039ADAAE58C0,
249C058E-C941-7C12-8BD0-BFA0B2AABA5C,"GIS, spatial analysis, and modeling",book,1589481305,,http://readinglists.ucl.ac.uk/items/249C058E-C941-7C12-8BD0-BFA0B2AABA5C.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
277EE656-BF6B-AEF1-3DD7-5A035DB2C814,Turing's cathedral: the origins of the digital universe,book,0713997508,9780713997507,http://readinglists.ucl.ac.uk/items/277EE656-BF6B-AEF1-3DD7-5A035DB2C814.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,
2931EC52-A6DD-82B5-21E6-835E3A0B49DD,Geospatial analysis and modelling of urban structure and dynamics,book,,9789048185726,http://readinglists.ucl.ac.uk/items/2931EC52-A6DD-82B5-21E6-835E3A0B49DD.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
2ADD7410-773F-BC37-C89F-107CEB019541,"GIS, spatial analysis, and modeling",book,1589481305,,http://readinglists.ucl.ac.uk/items/2ADD7410-773F-BC37-C89F-107CEB019541.html,A6D7ED9B-ABF0-F08D-060D-726808C7AF2D,
308C9980-C86C-B3BC-D81A-ED2E7A739143,GIS&T Body of Knowledge,book,,,http://readinglists.ucl.ac.uk/items/308C9980-C86C-B3BC-D81A-ED2E7A739143.html,14F7EC69-3236-486A-5D3B-01B939E718AE:Recommended,
30B34F43-D18D-F95D-BF67-AAF0C6590E86,Engineering mathematics,book,1403942463,9781403942463,http://readinglists.ucl.ac.uk/items/30B34F43-D18D-F95D-BF67-AAF0C6590E86.html,F337A367-A79E-5897-3521-039ADAAE58C0,
