reference,url,name,faculty,reading-list-url,reading-list,credits,mark-scheme,lectures,frequency,lecture-hours,support-hours,module-leader,assessment-methods,email,entry-date,level,terms,required-course,student-count
CASA0001,https://www.ucl.ac.uk/module-catalogue/modules/urban-systems-theory-CASA0001,Urban Systems Theory,bartlet,https://ucl.rl.talis.com/modules/casa0001.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756,15,numeric-marks,10,weekly,2,1,jens-kandt,100% Coursework (2 assessments),bartlett.pg-casa@ucl.ac.uk,2026-03-10,7,1,,117
CASA0002,https://www.ucl.ac.uk/module-catalogue/modules/urban-simulation-CASA0002,Urban Simulation,bartlet,https://ucl.rl.talis.com/modules/casa0002.html,A6D7ED9B-ABF0-F08D-060D-726808C7AF2D,15,numeric-marks,10,weekly,2,,elsa-arcaute,100% Coursework,bartlett.pg-casa@ucl.ac.uk,2026-03-10,7,2,,54
CASA0003,https://www.ucl.ac.uk/module-catalogue/modules/group-mini-project-digital-visualisation-CASA0003,Group Mini Project: Digital Visualisation,bartlet,https://ucl.rl.talis.com/modules/casa0003.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA,15,numeric-marks,,,,,,100% Group Activity,bartlett.pg-casa@ucl.ac.uk,2026-03-10,7,"2,3",,
CASA0005,https://www.ucl.ac.uk/module-catalogue/modules/geographic-information-systems-and-science-CASA0005,Geographic Information Systems and Science,bartlet,https://ucl.rl.talis.com/modules/casa0005.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,15,numeric-marks,10,weekly,2,,andrew-maclachlan,"90% Exam, 10% Other Assessment",bartlett.pg-casa@ucl.ac.uk,2026-03-10,7,1,,116
CASA0006,https://www.ucl.ac.uk/module-catalogue/modules/data-science-for-spatial-systems-CASA0006,Data Science for Spatial Systems,bartlet,https://ucl.rl.talis.com/modules/casa0006.html,074DEFFB-49ED-BAF2-9296-6F0191E2EEC2,15,numeric-marks,10,weekly,2,,huanfa-chen,100% Coursework,bartlett.pg-casa@ucl.ac.uk,2026-03-10,7,2,CASA0007,95
CASA0007,https://www.ucl.ac.uk/module-catalogue/modules/quantitative-methods-CASA0007,Quantitative Methods,bartlet,https://ucl.rl.talis.com/modules/casa0007.html,F337A367-A79E-5897-3521-039ADAAE58C0,15,numeric-marks,10,weekly,2,,huanfa-chen,100% Coursework,bartlett.pg-casa@ucl.ac.uk,2026-03-10,7,1,,110
CASA0008,https://www.ucl.ac.uk/module-catalogue/modules/smart-cities-context-policy-and-government-CASA0008,"Smart Cities: Context, Policy and Government",bartlet,https://ucl.rl.talis.com/modules/casa0008.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1,15,numeric-marks,10,weekly,2,,max-nathan,100% Coursework (2 assessments),bartlett.pg-casa@ucl.ac.uk,2026-03-10,7,2,,40
CASA0010,https://www.ucl.ac.uk/module-catalogue/modules/urban-spatial-science-dissertation-CASA0010,Urban Spatial Science Dissertation,bartlet,,,60,numeric-marks,,,,,neave-oclery,"100% Dissertations, extended projects, and reports",bartlett.pg-casa@ucl.ac.uk,2026-03-10,7,"2,3",,102
CASA0011,https://www.ucl.ac.uk/module-catalogue/modules/agent-based-modelling-for-spatial-systems-CASA0011,Agent-based Modelling for Spatial Systems,bartlet,https://ucl.rl.talis.com/modules/casa0011.html,FF07D106-8495-A29B-1581-0986A4A5FB26,15,numeric-marks,10,weekly,2,,thomas-evans,"50% Coursework, 50% Dissertations/Extended Projects/Reports",bartlett.pg-casa@ucl.ac.uk,2026-03-10,7,2,CASA0013,55
CASA0013,https://www.ucl.ac.uk/module-catalogue/modules/foundations-of-spatial-data-science-CASA0013,Foundations of Spatial Data Science,bartlet,https://ucl.rl.talis.com/modules/casa0013.html,14F7EC69-3236-486A-5D3B-01B939E718AE,15,numeric-marks,10,weekly,2,,jon-reades,"60% Group Activity (2 assessments), 30% Dissertations/Extended Projects/Reports, 10% Coursework",bartlett.pg-casa@ucl.ac.uk,2026-03-10,7,1,,99
CASA0023,https://www.ucl.ac.uk/module-catalogue/modules/remotely-sensing-cities-and-environments-CASA0023,Remotely Sensing Cities and Environments,bartlet,https://ucl.rl.talis.com/modules/casa0023.html,,15,numeric-marks,10,weekly,2,,andrew-maclachlan,"30% Exam, 70% Coursework",bartlett.pg-casa@ucl.ac.uk,2026-03-10,7,2,CASA0005,29
CASA0025,https://www.ucl.ac.uk/module-catalogue/modules/building-spatial-applications-with-big-data-CASA0025,Building Spatial Applications with Big Data,bartlet,https://ucl.rl.talis.com/modules/casa0025.html,,15,numeric-marks,10,weekly,2,,ollie-ballinger,"30% Coursework, 70% Group Activity (2 assessments)",bartlett.pg-casa@ucl.ac.uk,2026-03-10,7,2,CASA0013,77
CASA0028,https://www.ucl.ac.uk/module-catalogue/modules/designing-spatial-data-stories-CASA0028,Designing Spatial Data Stories,bartlet,https://ucl.rl.talis.com/modules/casa0028.html,,15,numeric-marks,10,weekly,1,,duncan-hay,"20% Coursework, 80% Group Activity",bartlett.pg-casa@ucl.ac.uk,2026-03-10,7,2,,39
CASA0029,https://www.ucl.ac.uk/module-catalogue/modules/urban-data-visualisation-CASA0029,Urban Data Visualisation,bartlet,https://ucl.rl.talis.com/modules/casa0029.html,,15,numeric-marks,10,weekly,2,,duncan-smith,"30% Coursework, 70% Group Activity",bartlett.pg-casa@ucl.ac.uk,2026-03-10,7,2,CASA0013,55
