reference,title,type,issn,part-of,url,reading-lists,eissn,doi
000E19C1-9C6C-011D-2FF4-EA27A4154BE2,Science and Complexity,article,00030996,American Scientist,http://readinglists.ucl.ac.uk/items/000E19C1-9C6C-011D-2FF4-EA27A4154BE2.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,,
0104C26A-3CD5-3AE2-C54A-D3D1FD5DAA4E,Make: Sensors - Make_Sensors_9781449368104.pdf,document,,,http://readinglists.ucl.ac.uk/items/0104C26A-3CD5-3AE2-C54A-D3D1FD5DAA4E.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,,
0159DECA-E0F8-0762-0C35-BA1CFC6F0980,"Being a ‘citizen’ in the smart city: up and down the scaffold of smart citizen participation in Dublin, Ireland",article,0343-2521,GeoJournal,http://readinglists.ucl.ac.uk/items/0159DECA-E0F8-0762-0C35-BA1CFC6F0980.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Recommended,1572-9893,10.1007/s10708-018-9845-8
01C79436-2390-6705-4397-B20CF8AA700A,Nick Bearman's RPubs website,webpage,,,http://readinglists.ucl.ac.uk/items/01C79436-2390-6705-4397-B20CF8AA700A.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,,
03338EF1-7581-BF55-95D0-62090F85070B,Happy Git and GitHub for the useR,website,,,http://readinglists.ucl.ac.uk/items/03338EF1-7581-BF55-95D0-62090F85070B.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,,
05356619-8698-0BB1-998E-2F70AF2659CD,spatstat - spatstat website,website,,,http://readinglists.ucl.ac.uk/items/05356619-8698-0BB1-998E-2F70AF2659CD.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,,
055771A4-893E-EDF3-1C83-1CDA5FC16CD5,"Interactive web-based data visualization with R, plotly, and shiny",webpage,,,http://readinglists.ucl.ac.uk/items/055771A4-893E-EDF3-1C83-1CDA5FC16CD5.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,,
057D6A70-FA70-CB29-3039-C7DDB11C7D79,Residential mobility and neighbourhood change (chapter 10),chapter,,Urban geography: a global perspective,http://readinglists.ucl.ac.uk/items/057D6A70-FA70-CB29-3039-C7DDB11C7D79.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,,
05F240C1-CC53-0D11-63D8-6A0ABF3BEFA0,The Geographically Weighted Regression Framework,article,,Geographic Information Science &amp; Technology Body of Knowledge,http://readinglists.ucl.ac.uk/items/05F240C1-CC53-0D11-63D8-6A0ABF3BEFA0.html,14F7EC69-3236-486A-5D3B-01B939E718AE:Optional,25772848,10.22224/gistbok/2020.4.7
086415BF-16B5-FA00-C6F6-9B515A4EBC58,Inclusive and Healthy Mobility: Understanding Trends in Concessionary Travel in the West Midlands,webpage,,,http://readinglists.ucl.ac.uk/items/086415BF-16B5-FA00-C6F6-9B515A4EBC58.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,,
08BB5969-6927-F355-AAA1-A07C5A6A9F89,A geoprivacy manifesto,article,,Transactions in GIS,http://readinglists.ucl.ac.uk/items/08BB5969-6927-F355-AAA1-A07C5A6A9F89.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,,10.1111/tgis.12305
