reference,documentation-url,person,entry-date,notes
2F2A7E4B-B152-BF2B-F545-9CA96493F756,https://ucl.rl.talis.com/modules/casa0001.html,jens-kandt,2025-07-08,Academic Year 2025/26
65486B06-749A-4475-9C20-F645A72AA6F9,https://ucl.rl.talis.com/modules/casa0002.html,elsa-arcaute,2025-07-08,Academic Year 2025/26
1064BFA6-D0E2-4EFC-871E-3BC32B75C94A,https://ucl.rl.talis.com/modules/casa0003.html,,2025-07-08,Academic Year 2025/26
EC0607B8-6AED-4F56-98BD-8DD58AD9BA29,https://ucl.rl.talis.com/modules/casa0005.html,andrew-maclachlan,2025-07-08,Academic Year 2025/26
67613900-DBA5-493A-8DEE-F39705254484,https://ucl.rl.talis.com/modules/casa0006.html,huanfa-chen,2025-07-08,Academic Year 2025/26
C8E3D6C1-2C39-4DF2-B343-9AE3F58D70CE,https://ucl.rl.talis.com/modules/casa0007.html,huanfa-chen,2025-07-08,Academic Year 2025/26
E328F375-DEFF-4E06-B438-56A619E6FBC7,https://ucl.rl.talis.com/modules/casa0008.html,max-nathan,2025-07-08,Academic Year 2025/26
F4BBADEB-6507-4223-97C9-69D1B331DC05,https://ucl.rl.talis.com/modules/casa0011.html,thomas-evans,2025-07-08,Academic Year 2025/26
8990453C-56F5-44F1-BEFD-84EBC9590756,https://ucl.rl.talis.com/modules/casa0013.html,jon-reades,2025-07-08,Academic Year 2025/26
147B01D2-934E-4B7A-B4C9-E43E25F7630D,https://ucl.rl.talis.com/modules/casa0023.html,andrew-maclachlan,2025-07-08,Academic Year 2025/26
589924EB-4BC4-4D0B-8248-8016304924E3,https://ucl.rl.talis.com/modules/casa0025.html,ollie-ballinger,2025-07-08,Academic Year 2025/26
6EFB285F-F1E4-435D-B9BF-05533B9B14E2,https://ucl.rl.talis.com/modules/casa0028.html,duncan-hay,2025-07-08,Academic Year 2025/26
2AA415E1-6F61-4FF7-BE82-810903C1A73F,https://ucl.rl.talis.com/modules/casa0029.html,duncan-smith,2025-07-08,Academic Year 2025/26
